"","ticker","year","GHG","n","X","Company_Year","Reduction_Sentences"
"489","CTB",2014,92001,13,NA,NA,NA
"490","CTB",2015,96026,13,NA,NA,NA
"491","CTB",2016,95075,13,NA,NA,NA
"492","CTB",2017,88875,13,NA,NA,NA
"493","CTB",2018,94541,13,NA,NA,NA
"494","CTB",2019,114066,13,NA,NA,NA
"495","CTB",2020,108092,13,NA,NA,NA
"496","CTB",2021,41975,13,NA,NA,NA
"497","CTB",2022,42171,13,NA,NA,NA
"498","CVI",2010,1234378,13,NA,NA,NA
"499","CVI",2011,1894288,13,NA,NA,NA
"500","CVI",2012,2088892,13,NA,NA,NA
"501","CVI",2013,2607776,13,NA,NA,NA
"502","CVI",2014,2644066,13,NA,NA,NA
"503","CVI",2015,3604339,13,NA,NA,NA
"504","CVI",2016,2150161,13,NA,NA,NA
"505","CVI",2017,4771949,13,NA,NA,NA
"506","CVI",2018,4654556,13,NA,NA,NA
"507","CVI",2019,4699660,13,NA,NA,NA
"508","CVI",2020,4117444,13,NA,NA,NA
"509","CVI",2021,3379226,13,NA,NA,NA
"510","CVI",2022,3072351,13,NA,NA,NA
"511","CWST",2010,641787,13,NA,NA,NA
"512","CWST",2011,563914,13,NA,NA,NA
"513","CWST",2012,490818,13,NA,NA,NA
"514","CWST",2013,342994,13,NA,NA,NA
"515","CWST",2014,364605,13,NA,NA,NA
"516","CWST",2015,391871,13,NA,NA,NA
"517","CWST",2016,395016,13,NA,NA,NA
"518","CWST",2017,400844,13,NA,NA,NA
"519","CWST",2018,424940,13,NA,NA,NA
"520","CWST",2019,465575,13,NA,NA,NA
"521","CWST",2020,450962,13,NA,NA,NA
"522","CWST",2021,423281,13,NA,NA,NA
"523","CWST",2022,457404,13,NA,NA,NA
"524","CX",2010,6697704.36,13,NA,NA,NA
"525","CX",2011,6210220.5,13,NA,NA,NA
"526","CX",2012,6977360,13,NA,NA,NA
"527","CX",2013,7281815,13,NA,NA,NA
"528","CX",2014,7813875.75,13,NA,NA,NA
"529","CX",2015,8656456.75,13,NA,NA,NA
"530","CX",2016,8219362.25,13,NA,NA,NA
"531","CX",2017,8018683.5,13,NA,NA,NA
"532","CX",2018,7742908.25,13,NA,NA,NA
"533","CX",2019,7577133.75,13,NA,NA,NA
"534","CX",2020,6335709,13,NA,NA,NA
"535","CX",2021,5981155,13,NA,NA,NA
"536","CX",2022,5613035,13,NA,NA,NA
"537","DAL",2010,52304,13,NA,NA,NA
"538","DAL",2011,47939,13,NA,NA,NA
"539","DAL",2012,386461,13,NA,NA,NA
"540","DAL",2013,1357111,13,NA,NA,NA
"541","DAL",2014,1403041,13,NA,NA,NA
"542","DAL",2015,1438536,13,NA,NA,NA
"543","DAL",2016,1398973,13,NA,NA,NA
"544","DAL",2017,1355969,13,NA,NA,NA
"545","DAL",2018,1230173,13,NA,NA,NA
"546","DAL",2019,1501650,13,NA,NA,NA
"547","DAL",2020,1179682,13,NA,NA,NA
"548","DAL",2021,1381265,13,NA,NA,NA
"549","DAL",2022,1313654,13,NA,NA,NA
"550","DCP",2010,224880.6,13,NA,NA,NA
"551","DCP",2011,1312267.0872,13,NA,NA,NA
"552","DCP",2012,1592988.0943,13,NA,NA,NA
"553","DCP",2013,1950032.739,13,NA,NA,NA
"554","DCP",2014,2248761.243,13,NA,NA,NA
"555","DCP",2015,2435901.182,13,NA,NA,NA
"556","DCP",2016,2285585.453,13,NA,NA,NA
"557","DCP",2017,9300864.13235,13,NA,NA,NA
"558","DCP",2018,9843437.3615,13,NA,NA,NA
"559","DCP",2019,8620592.4321,13,NA,NA,NA
"560","DCP",2020,8260385.8937476,13,NA,NA,NA
"561","DCP",2021,7689659.8323986,13,NA,NA,NA
"562","DCP",2022,7904389.5341224,13,NA,NA,NA
"563","DD",2010,9466741,13,NA,NA,NA
"564","DD",2011,13540709,13,NA,NA,NA
"565","DD",2012,10813256,13,NA,NA,NA
